,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri.1,track_href,analysis_url,duration_ms.1,time_signature,cluster
44,Been Doin This,Cookie Season,Lil $horty,116691,spotify:track:2l7enU5sUtm8m9vauUDxoF,https://api.spotify.com/v1/tracks/2l7enU5sUtm8m9vauUDxoF,0.872,0.483,11,-7.144,1,0.282,0.016,0.0,0.118,0.466,118.699,audio_features,2l7enU5sUtm8m9vauUDxoF,spotify:track:2l7enU5sUtm8m9vauUDxoF,https://api.spotify.com/v1/tracks/2l7enU5sUtm8m9vauUDxoF,https://api.spotify.com/v1/audio-analysis/2l7enU5sUtm8m9vauUDxoF,116691,4,0
45,Bacharach/David Medley: Knowing When To Leave/Make It Easy On Yourself/There's Always Something There To Remind Me/I'll Never Fall In Love Again/Walk On By/Do You Know The Way To San Jose,Carpenters,Carpenters,327958,spotify:track:0CiZhOLuBLUtDS08gtKWmo,https://api.spotify.com/v1/tracks/0CiZhOLuBLUtDS08gtKWmo,0.461,0.45,0,-11.228,1,0.109,0.797,0.0,0.0735,0.465,92.673,audio_features,0CiZhOLuBLUtDS08gtKWmo,spotify:track:0CiZhOLuBLUtDS08gtKWmo,https://api.spotify.com/v1/tracks/0CiZhOLuBLUtDS08gtKWmo,https://api.spotify.com/v1/audio-analysis/0CiZhOLuBLUtDS08gtKWmo,327959,4,0
46,Knife Talk,Rozay Beats,Drill LDN,89652,spotify:track:4IbHF2E4HNsi60joYeNkI9,https://api.spotify.com/v1/tracks/4IbHF2E4HNsi60joYeNkI9,0.625,0.537,6,-7.966,0,0.042,0.422,0.947,0.195,0.254,150.004,audio_features,4IbHF2E4HNsi60joYeNkI9,spotify:track:4IbHF2E4HNsi60joYeNkI9,https://api.spotify.com/v1/tracks/4IbHF2E4HNsi60joYeNkI9,https://api.spotify.com/v1/audio-analysis/4IbHF2E4HNsi60joYeNkI9,89652,4,1
47,"Anvil Of Crom / Finale (From ""Conan The Barbarian"")",The Greatest Theme From The Films of Arnold Schwarzenegger,The City of Prague Philharmonic Orchestra,65826,spotify:track:6UL7WjAfoofXKKRnAHa07n,https://api.spotify.com/v1/tracks/6UL7WjAfoofXKKRnAHa07n,0.557,0.858,7,-4.14,0,0.0456,0.311,0.000747,0.312,0.429,124.037,audio_features,6UL7WjAfoofXKKRnAHa07n,spotify:track:6UL7WjAfoofXKKRnAHa07n,https://api.spotify.com/v1/tracks/6UL7WjAfoofXKKRnAHa07n,https://api.spotify.com/v1/audio-analysis/6UL7WjAfoofXKKRnAHa07n,65827,3,3
48,Boyfriend,Love You to Death,Tegan and Sara,167253,spotify:track:0euRZeEKvdbptPpebwDtLc,https://api.spotify.com/v1/tracks/0euRZeEKvdbptPpebwDtLc,0.686,0.771,9,-5.697,0,0.0705,0.0254,0.000138,0.107,0.393,123.985,audio_features,0euRZeEKvdbptPpebwDtLc,spotify:track:0euRZeEKvdbptPpebwDtLc,https://api.spotify.com/v1/tracks/0euRZeEKvdbptPpebwDtLc,https://api.spotify.com/v1/audio-analysis/0euRZeEKvdbptPpebwDtLc,167253,4,1
49,How Sweet It Is (To Be Loved By You),Reflections,The Temptations,217373,spotify:track:4sjZ33bI2QVqzpReQnrRzD,https://api.spotify.com/v1/tracks/4sjZ33bI2QVqzpReQnrRzD,0.823,0.687,4,-8.381,0,0.0505,0.0885,8.1e-05,0.019,0.635,114.978,audio_features,4sjZ33bI2QVqzpReQnrRzD,spotify:track:4sjZ33bI2QVqzpReQnrRzD,https://api.spotify.com/v1/tracks/4sjZ33bI2QVqzpReQnrRzD,https://api.spotify.com/v1/audio-analysis/4sjZ33bI2QVqzpReQnrRzD,217373,4,1
50,Never Heard 'Em Say,Never Heard 'Em Say,Durand Jones & The Indications,175668,spotify:track:7K7cSzf0ulBuAjv6DavPk7,https://api.spotify.com/v1/tracks/7K7cSzf0ulBuAjv6DavPk7,0.57,0.121,8,-13.785,1,0.0473,0.97,0.0083,0.186,0.0907,90.163,audio_features,7K7cSzf0ulBuAjv6DavPk7,spotify:track:7K7cSzf0ulBuAjv6DavPk7,https://api.spotify.com/v1/tracks/7K7cSzf0ulBuAjv6DavPk7,https://api.spotify.com/v1/audio-analysis/7K7cSzf0ulBuAjv6DavPk7,175669,4,0
51,"Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) - Remix","Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) [Remix]",Rauw Alejandro,325692,spotify:track:3oCghu20Kto5Xcu8Pg0cit,https://api.spotify.com/v1/tracks/3oCghu20Kto5Xcu8Pg0cit,0.788,0.629,0,-4.727,1,0.0883,0.16,0.000828,0.0598,0.738,172.044,audio_features,3oCghu20Kto5Xcu8Pg0cit,spotify:track:3oCghu20Kto5Xcu8Pg0cit,https://api.spotify.com/v1/tracks/3oCghu20Kto5Xcu8Pg0cit,https://api.spotify.com/v1/audio-analysis/3oCghu20Kto5Xcu8Pg0cit,325692,4,0
52,Shootout @ My Crib,7220,Lil Durk,153813,spotify:track:1jJi5OK2iPnXbiImoRoqmo,https://api.spotify.com/v1/tracks/1jJi5OK2iPnXbiImoRoqmo,0.754,0.553,10,-8.777,0,0.394,0.06,0.0,0.108,0.195,90.6,audio_features,1jJi5OK2iPnXbiImoRoqmo,spotify:track:1jJi5OK2iPnXbiImoRoqmo,https://api.spotify.com/v1/tracks/1jJi5OK2iPnXbiImoRoqmo,https://api.spotify.com/v1/audio-analysis/1jJi5OK2iPnXbiImoRoqmo,153813,4,1
53,Numb Little Bug - Workout Remix 128 BPM,Numb Little Bug - Single,Power Music Workout,215625,spotify:track:6NP2ZArG7ntHkqYQs9qDWC,https://api.spotify.com/v1/tracks/6NP2ZArG7ntHkqYQs9qDWC,0.616,0.954,11,-6.795,1,0.0507,0.0155,0.129,0.0577,0.832,127.992,audio_features,6NP2ZArG7ntHkqYQs9qDWC,spotify:track:6NP2ZArG7ntHkqYQs9qDWC,https://api.spotify.com/v1/tracks/6NP2ZArG7ntHkqYQs9qDWC,https://api.spotify.com/v1/audio-analysis/6NP2ZArG7ntHkqYQs9qDWC,215625,4,0
